Name,Placement,Season,Tribe
Tyler Earwood,1,1,Rio
Juliana,2,1,Rio
Kylie Jo,3,1,Rio
Marla Cantu Esparza,4,1,Rio
Tyree Lewis,5,1,Brazos
David Proctor,6,1,Rio
Mia,7,1,Brazos
Amerlia Barnard,8,1,Brazos
Maya,9,1,Brazos
Grant,10,1,Brazos
Makenzie,11,1,Brazos
Samantha,12,1,Rio
Cooper Brown,1,2,Tumbleweed
Katarina Cuellar,2,2,Dust Devil
Ana Ladaniuski,3,2,Dust Devil
Maryan Camacho,4,2,Tumbleweed
Justin Okougbodu,5,2,Dust Devil
Daniel Wolfe,6,2,Tumbleweed
Isha Chhabra,7,2,Tumbleweed
Abhinav Rao Talluri,8,2,Dust Devil
Sky Sulaiman,9,2,Tumbleweed
Oren Ederi,10,2,Dust Devil
Diya Bhattacharya,11,2,Dust Devil
Chinonso Obiefule,12,2,Tumbleweed
Michael Izzard,1,3,Prickly Pear
Sarah Sheriff,2,3,Bluebonnet 
Krystal Cortez,3,3,Bluebonnet 
Andres Pineda,4,3,Prickly Pear
Roy Royall,5,3,Bluebonnet 
Saylor Black,6,3,Prickly Pear
Alexis Crowl,7,3,Prickly Pear
Jackson Luikens,8,3,Bluebonnet 
Catalina Rodriguez,9,3,Bluebonnet 
Trinity Hawkins,10,3,Prickly Pear
Octavius Tyler,11,3,Bluebonnet 
Jeffrey Ramirez,12,3,Prickly Pear
Katherine Nix,13,3,Prickly Pear
Eunice Bodunrinde,14,3,Bluebonnet 
Presley McGurl,1,4,Flying Dutchman
Armando Martinez,2,4,Flying Dutchman
Mason Scivally,3,4,Kraken
Ben Christie,4,4,Flying Dutchman
Caroleen Saba,5,4,Flying Dutchman
Audrey Reue,6,4,Flying Dutchman
Alicia Cook,7,4,Kraken
Caleb Morrow,8,4,Kraken
Benjamin Kofron,9,4,Kraken
Ebony Garlington,10,4,Kraken
Alem Hadzic,11,4,Kraken
Amirah Butler,12,4,Flying Dutchman
Malia Williams,13,4,Kraken
Cephas Edet,14,4,Flying Dutchman
Lanning Welsch,15,4,Kraken
Ava Greer,16,4,Flying Dutchman
Eli Small,1,5,Ares
Myan Gonzales,2,5,Ares
Sapphire Nunn,3,5,Aphrodite
Sam Bizzell,4,5,Athena
Anjali Guruaj,5,5,Athena
Erin Spiek,6,5,Aphrodite
Emma Roco,7,5,Aphrodite
Mathew Nguyen,8,5,Athena
Torsten Weber,9,5,Ares
Nick Moore,10,4,Aphrodite
Gracie Love,11,5,Athena
Emma McLendon,12,5,Ares
Christian Wilson,13,5,Athena
Ife Oluwole,14,5,Aphrodite
Maya Musallam,15,5,Ares
