id,name,tribe,placement
allisonbedwell,Allison Bedwell,Cavaliers ,14
andrewleal,Andrew Leal,Cavaliers ,6
anthonyanello,Anthony Anello,Cavaliers ,13
bellest.john,Belle St. John,Cavaliers ,1
leoleyva,Leo Leyva,Cavaliers ,16
niamachira,Nia Machira,Cavaliers ,4
noorimran,Noor Imran,Cavaliers ,8
skylerball,Skyler Ball,Cavaliers ,2
,,,
alannahbruce,Alannah Bruce,Jesters,7
andrewdarby,Andrew Darby,Jesters,15
johnrickert,John Rickert,Jesters,9
landonchen,Landon Chen,Jesters,12
piperbuck,Piper Buck,Jesters,3
prestonravin,Preston Ravin,Jesters,10
sofiagomez,Sofia Gomez,Jesters,11
zoëwestbrook,Zoë Westbrook,Jesters,5
